id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
APR-r60532,2000,apr,oob-write,"apr_create_process / apr_proc_create, APR_SHELLCMD path (threadproc/unix/proc.c)","The argv array is sized for i+3 slots - `newargs = (my_stupid_string *) apr_palloc(cont, sizeof (char *) * (i + 3));` at threadproc/unix/proc.c:325-326 of the vulnerable file (git show a26a90f27^:threadproc/unix/proc.c) - and holds SHELL_PATH, ""-c"" and i arguments, so the terminator belongs at newargs[i+2]. The code wrote `newargs[i + 3] = NULL;` (line 334 of that file): one pointer slot past the end, while newargs[i+2] was left uninitialised and passed to execve as part of argv.",any APR_SHELLCMD apr_proc_create; the reported symptom was intermittent execve EFAULT,a26a90f27cbde8dd15e43b9da2561c89c3126ff0 (trunk r60532),APR 0.9 / 1.0 development line,apr-pool,blind,read-the-source,https://github.com/apache/apr/commit/a26a90f27cbde8dd15e43b9da2561c89c3126ff0,"Two defects on one pool object: an 8-byte OOB write of NULL past a pool-carved pointer array, and an uninitialised read of newargs[i+2] handed straight to execve. Both are invisible to a heap checker - the array is bump-carved out of a memnode, so slot i+3 is simply the next object, and apr_palloc does not zero (only apr_pcalloc does, memory/unix/apr_pools.c:917). The bug reached anyone only because execve validated the pointer and returned EFAULT; the write itself never faulted."
APR-r61215,2001,apr,oob-read,apr_pstrndup (strings/apr_strings.c),"Pre-fix apr_pstrndup did `res = apr_palloc(a, n + 1); memcpy(res, s, n);` with no check that s actually holds n bytes. Every caller that passed a maximum length rather than an exact one over-read the source string by up to n - strlen(s) bytes.","apr_pstrndup(p, short_string, large_n)",db0a18b7fcbca58f36ba58cf3e7ba4f21cbb4e85 (trunk r61215),APR 1.0 development line,apr-pool,blind,read-the-source,https://github.com/apache/apr/commit/db0a18b7fcbca58f36ba58cf3e7ba4f21cbb4e85,"The over-read source is whatever the caller passed; in APR/httpd that is overwhelmingly another pool string, so the read stays inside the same memnode and returns adjacent request data instead of faulting. Destination `apr_palloc(a, n + 1)` in the same function. Author's own note calls it theoretical - it is exactly the class the arena makes theoretical, because the read cannot be observed. Fix strlen's the source first and copies min(len, n)."
CVE-2009-2412,2009,apr,integer-overflow,"apr_palloc / allocator_alloc / apr_pcalloc (memory/unix/apr_pools.c), apr_rmm_malloc (misc/apr_rmm.c)","`size = APR_ALIGN_DEFAULT(size)` in apr_palloc and `size = APR_ALIGN(size + APR_MEMNODE_T_SIZE, BOUNDARY_SIZE)` in allocator_alloc wrapped for sizes near SIZE_MAX, so a huge request returned a small block; the caller then wrote what it asked for.","apr_palloc(p, n) with n within APR_ALIGN_DEFAULT's rounding distance of SIZE_MAX",19cdf7c8c9e5a56e996961c2ec791254a8bb5687 (0.9.x r800733) plus b6b7d26cd / fe1450d79 / 27a039c7b on the other branches,"APR 1.3.8, apr-util 1.3.9",apr-pool,blind,read-the-source,https://github.com/apache/apr/commit/19cdf7c8c9e5a56e996961c2ec791254a8bb5687,"ALLOCATOR-INTERNAL - flagged because the survey deliberately excludes allocator bugs from the 'ordinary code' story. The defect is in the pool allocator itself, not in a consumer, and it also hit apr_rmm, APR's second region allocator over shared memory. Kept in the table only so the category is visible, and it should be counted separately from the consumer rows. It is still `blind` for the same structural reason as those: apr_palloc hands back a raw interior pointer into a memnode with no per-object bound, so the short block the wrap produced is indistinguishable from a correct one at the point of use. Fix adds post-alignment overflow checks (`if (size < in_size) return NULL;`) and drops the redundant alignment in apr_pcalloc."
APR-r932067,2010,apr,uninitialized-read,apr_filepath_merge (file_io/win32/filepath.c),"`*newpath = apr_pmemdup(p, path, pathlen + 1);` at file_io/win32/filepath.c:952 copied pathlen+1 bytes out of a buffer that only holds pathlen valid ones, then re-terminated. One byte of adjacent, possibly uninitialised pool memory was read on every merge.",any apr_filepath_merge on Windows; flagged by memory-checking tools,"8aec4da3a92f78bebfb730c3da7d6485b299c7c2 (trunk r932067); backports e581387a0, 245e3509a",APR 1.4.x,apr-pool,blind,read-the-source,https://github.com/apache/apr/commit/8aec4da3a92f78bebfb730c3da7d6485b299c7c2,"`path` is the caller's pool buffer; apr_pmemdup allocates the destination with apr_palloc. The commit message is explicit that it was 'harmless other than triggering errors from tools that check memory access' - which is the survey's point in miniature: the only reason anyone knew is that a tool with a model of object extents complained, and neither malloc nor the pool has such a model for a bump-carved string. Fix uses apr_pstrmemdup, which copies exactly pathlen and terminates."
CVE-2017-12613,2017,apr,oob-read,"apr_time_exp_get / apr_time_exp_gmt_get (time/unix/time.c, time/win32/time.c) and SystemTimeToAprExpTime","`static const int dayoffset[12]` is indexed by the caller-supplied xt->tm_mon with no range check, so an apr_time_exp_t whose tm_mon came from an untrusted date string reads outside the table.",apr_time_exp_get() on an apr_time_exp_t with tm_mon outside 0..11 (e.g. from a parsed HTTP date),e6e8607e2203c019ec41259a5005d02ebc40c5be (1.6.x r1807976),APR 1.6.3,system-malloc,caught,read-the-source,https://github.com/apache/apr/commit/e6e8607e2203c019ec41259a5005d02ebc40c5be,"CONTROL-GROUP row, and the alloc_arena value is a bucketing compromise: the object read out of bounds is not heap at all but a file-scope `static const int dayoffset[12]` in .rodata (time/unix/time.c:142). Nothing in the enum covers statics; it is recorded as the non-arena bucket. A bounded-globals ABI (CHERI gives each global its own capability) catches this; a pool is not involved. Fix adds `if (xt->tm_mon < 0 || xt->tm_mon >= 12) return APR_EBADDATE;`."
CVE-2021-35940,2021,apr,oob-read,"apr_time_exp_get / SystemTimeToAprExpTime (time/unix/time.c, time/win32/time.c)","Same dayoffset[12] out-of-range index as CVE-2017-12613. The 1.6.x fix (r1807976) was never merged to the 1.7.x branch, so APR 1.7.0 shipped the bug again and it was re-assigned.",same as CVE-2017-12613,3c783719d09c8f1b79eb73e5ea6589fdb856aebb (1.7.x r1892358); win32 remainder fc78d9d92b7cc139d74910858e070affd5349d41 (trunk r1895239),APR 1.7.1,system-malloc,caught,named-in-advisory,https://github.com/apache/apr/commit/3c783719d09c8f1b79eb73e5ea6589fdb856aebb,"CONTROL-GROUP row and a regression of CVE-2017-12613, recorded separately because it is a distinct advisory against a distinct version range (1.7.0 only). Same .rodata `static const int dayoffset[12]`; see the CVE-2017-12613 row for the alloc_arena caveat."
CVE-2022-24963,2022,apr,intra-arena-overflow,"apr_encode_base64 / apr_encode_base64_binary / apr_encode_base32* / apr_encode_base16, via apr_pencode_base64 & siblings (encoding/apr_encode.c)","The two-pass API sizes with dest==NULL then encodes. The sizing pass computed `*len = ((slen + 2) / 3 * 4) + 1` in signed apr_ssize_t (git show 622905ddf^:encoding/apr_encode.c lines 271 and 333) and never rejected a negative slen; the encode pass indexed with a plain `int i` (same pre-fix file, lines 288 and 297). A caller-controlled slen near SSIZE_MAX, or negative, wraps the size, apr_palloc returns a short pool buffer, and the encode loop writes 4/3*slen bytes into it.","apr_pencode_base64(p, src, slen, 0, &len) with slen chosen so ((slen+2)/3*4)+1 wraps","622905ddfa7b45dfca350e13442892de3c1f48e9 (trunk r1902281); backports f039abc0c1a70394f8c0595ab3bc8e9aec9da325 (1.7.x r1904675), fbf05776fa6dc9de3adf366b9979d8267a9f71ec (1.8.x r1904723)",APR 1.7.1,apr-pool,blind,named-in-advisory,https://github.com/apache/apr/commit/622905ddfa7b45dfca350e13442892de3c1f48e9,"APR CHANGES text: 'Integer Overflow or Wraparound vulnerability in apr_encode functions ... allows an attacker to write beyond bounds of a buffer.' Destination: `encoding/apr_encode.c:346 char *cmd = apr_palloc(p, size);` in apr_pencode_base64 in the vulnerable tree (git show 622905ddf^:encoding/apr_encode.c; the same call is :357 in current trunk), with the identical shape in apr_pencode_base64_binary and the base32/base16 wrappers. Blind twice over: the object has no bounds of its own, and the memnode it sits in is 8 KB+ so a moderate overrun stays inside one malloc'd block. Fix moves the arithmetic to apr_size_t, rejects slen<0, and returns APR_ENOSPC when the source cannot be encoded."
CVE-2022-28331,2022,apr,oob-write,apr_socket_sendv (network_io/win32/sendrecv.c),"The WSABUF count is accumulated into `apr_int32_t nvec` by a loop that adds one entry per APR_DWORD_MAX chunk of each iovec (lines 99-106 of the vulnerable file, git show 27046d793^:network_io/win32/sendrecv.c). With large enough iovecs nvec overflows int32; the following `pWsaBuf = (nvec <= WSABUF_ON_STACK) ? _alloca(sizeof(WSABUF) * (nvec)) : malloc(sizeof(WSABUF) * (nvec));` (line 108 of that file) then reserves too little, and the fill loop (lines 113-131) writes past it.",apr_socket_sendv on Windows with iovecs totalling more than INT32_MAX*APR_DWORD_MAX,"a783ca8b7 (Win32: stop apr_socket_sendv splitting iovecs across WSABUFs), 3bbe15b4b (1.8.x r1904715), 96b81a069 (1.7.x r1904716), 435c7fc0d (32-bit apr_size_t follow-up)",APR 1.7.1,stack,caught,named-in-advisory,https://github.com/apache/apr/commit/27046d793abbf1ff9b6e4c6bd51f0a2e28b9d4b8,"CONTROL-GROUP row. APR CHANGES: 'On Windows, APR 1.7.0 and earlier may write beyond the end of a stack based buffer in apr_socket_sendv(). This is a result of integer overflow.' The buffer is a dynamic stack allocation via _alloca at line 108 of git show 27046d793^:network_io/win32/sendrecv.c (WSABUF_ON_STACK is 50, network_io/win32/sendrecv.c:37 in current trunk, where the fixed call at :109 sizes by in_vec instead), which CHERI bounds like any other stack object, so a per-object-bounds machine traps on the first out-of-range WSABUF store. Windows-only; nothing here touches an APR pool."
APR-r1927940,2025,apr,intra-arena-overflow,"percent_encode_scope_zone_id (uri/apr_uri.c), reached from apr_uri_unparse","RFC6874 IPv6 zone-id re-encoding allocated `hostcopy = apr_palloc(p, len + 2);` at line 143 of the vulnerable file (git show 5d2ccf83a^:uri/apr_uri.c) but the writer emits len+2 content bytes and then terminates with `hostcopy[len + 2] = '\0';` at line 149 of that file - index len+2 in a len+2-byte object. One NUL byte past the pool allocation, for any link-local hostname containing a '%'. Current trunk carries the fixed `hostcopy = apr_palloc(p, len + 3);` at uri/apr_uri.c:163.",apr_uri_parse + apr_uri_unparse on a URI such as http://[fe80::1%25eth0]/,471de34e0f3f77af5d943df60b6c2e1ed9b8a5ea (trunk r1927941); the earlier 5d2ccf83a63656b11e4aae81980fafd3ae0e9955 (r1927940) moved the write instead and truncated the output,"APR trunk / 2.0-dev only (introduced 8ddc303fd on 2025-08-21, never in a 1.x release)",apr-pool,blind,read-the-source,https://github.com/apache/apr/commit/471de34e0f3f77af5d943df60b6c2e1ed9b8a5ea,"Live example of the arena hiding a real bug: found by APR's UBSan CI, not by ASAN, and the first attempted fix (r1927940) moved the NUL back inside the buffer and silently truncated the last data byte - a correctness regression that a bounds check would not have flagged either. The one-byte NUL lands on the next bump-allocated object in the same memnode and no allocator-level checker can see it. Fix enlarges the allocation to len+3 and restores the write at len+2. Trunk-only, so no released version is affected."
APR-PR45679,2009,apr-util,oob-read,"apr_sha1_base64 (crypto/apr_sha1.c), reached from apr_password_validate (crypto/apr_md5.c:712)","apr_sha1_base64 advanced its input past a leading `{SHA}` marker (`clear += APR_SHA1PW_IDLEN;` at crypto/apr_sha1.c:355) but left `len` at the ORIGINAL strlen, so apr_sha1_update hashed 5 bytes past the end of the plaintext. Triggered whenever the supplied plaintext password itself begins with `{SHA}`.",HTTP Basic auth against a {SHA} htpasswd entry with the client-supplied password starting `{SHA}`,"6fa1cb7d030932c66be2cb2a2c62688ef835d6fb (trunk r731413); backports a62c835b, badfb2cb",apr-util 1.3.5,apr-pool,blind,read-the-source,https://github.com/apache/apr-util/commit/6fa1cb7d030932c66be2cb2a2c62688ef835d6fb,"Not a CVE - a PR-tracked buffer overrun, included because the arena story is exact. The over-read buffer is the caller's plaintext; on httpd's Basic-auth path that is `server/protocol.c:1715 t = ap_pbase64decode(r->pool, auth_line);` -> `server/util.c:2503 decoded = (char *) apr_palloc(p, apr_base64_decode_len(bufcoded));`, i.e. r->pool. Five bytes past a pool string are simply the next bump-allocated object, so the read succeeds silently and the hashed value depends on unrelated request data. The output buffer `char sample[120]` at crypto/apr_md5.c:701 is stack and is NOT the problem. Fix deletes the pointer advance."
