program,id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
php,adv-0001,2026,ext/soap,use-after-free,soap_add_xml_ref,"a SOAP request/response encoding an Apache Map, so the same node is referenced twice",https://github.com/php/php-src/blob/aee3b3ac9b816b0def1c462695b483b49a83148e/ext/soap/tests/GHSA-85c2-q967-79q5.phpt,aee3b3ac9b816b0def1c462695b483b49a83148e,8.2.32,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/aee3b3ac9b816b0def1c462695b483b49a83148e,"SOAP_GLOBAL(ref_map) = emalloc(sizeof(HashTable)) at ext/soap/php_encoding.c:3449 stored the zval WITHOUT taking a reference and with a NULL dtor, so the map kept pointing at a released zend_object/zend_array (Zend/zend_objects.c (master:190), Zend/zend_hash.c (master:289)). CVE-2026-6722, rated high with remote code execution"
php,adv-0002,2025,ext/standard,uninitialised-read,php_read_APP,getimagesize() on a JPEG whose APPn segment is longer than the stream's chunk size,https://github.com/php/php-src/blob/c5f28c7cf0a052f48e47877c7aa5c5bcc54f1cfc/ext/standard/tests/image/gh20584.phpt,c5f28c7cf0a052f48e47877c7aa5c5bcc54f1cfc,8.2.30,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/c5f28c7cf0a052f48e47877c7aa5c5bcc54f1cfc,"buffer = emalloc(length) at ext/standard/image.c:456; php_read_stream_all_chunks never advanced the write pointer (ext/standard/image.c:433 adds the missing buffer += read_now), so everything after the first chunk stayed as the previous occupant of the arena block and was handed to userland by add_assoc_stringl. CVE-2025-14177"
php,adv-0003,2025,ext/standard,int-overflow-to-oob,php_array_merge_wrapper,array_merge() over arrays whose total element count exceeds UINT32_MAX,https://github.com/php/php-src/blob/8b801151bd54b36aae4593ed6cfc096e8122b415/ext/standard/tests/array/GHSA-h96m-rvf9-jgm2.phpt,8b801151bd54b36aae4593ed6cfc096e8122b415,8.2.30,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/8b801151bd54b36aae4593ed6cfc096e8122b415,"count was a uint32_t (ext/standard/array.c:3774) and wrapped before sizing the destination array, whose bucket array is emalloc'd at Zend/zend_hash.c (master:224); the merge loop then wrote past it. CVE-2025-14178"
php,adv-0004,2024,ext/standard,oob-read,php_conv_qprint_decode_convert,"stream_filter_append($s, 'convert.quoted-printable-decode') on data ending mid soft-line-break",https://github.com/php/php-src/blob/f3ade203d7ca2e70f09e4e29b6fe7f614fcc0821/ext/standard/tests/filters/ghsa-r977-prxv-hc43.phpt,f3ade203d7ca2e70f09e4e29b6fe7f614fcc0821,8.2.27,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/f3ade203d7ca2e70f09e4e29b6fe7f614fcc0821,"scan state 5 dereferenced *ps with icnt == 0, one byte past the filter's input bucket; the bucket wraps stream->readbuf without copying (php_stream_bucket_new(..., own_buf=0), main/streams/filter.c:328) and readbuf is pemalloc'd with the stream's persistence flag, i.e. emalloc for a normal stream. CVE-2024-11233"
php,adv-0005,2024,sapi/cli,use-after-free,php_cli_server_client_populate_request_info,"php -S: send one request WITH a Content-Type header, then a second request without one on the same worker",https://github.com/php/php-src/blob/f18d429b2008a3e7addce2d9444019077b9eda1c/sapi/cli/tests/ghsa-4w77-75f9-2c8w.phpt,f18d429b2008a3e7addce2d9444019077b9eda1c,8.2.27,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/f18d429b2008a3e7addce2d9444019077b9eda1c,"request_info->content_type was left holding Z_STRVAL_P of the PREVIOUS request's header zend_string (zend_string_alloc(len,0), Zend/zend_string.h (master:190)) because the else branch never NULLed it (sapi/cli/php_cli_server.c:1946); that request's arena slot has since been recycled. GHSA-4w77-75f9-2c8w, 'Heap-Use-After-Free in sapi_read_post_data'"
php,adv-0006,2024,ext/xml,oob-read,_xml_startElementHandler,"xml_parser_set_option($p, XML_OPTION_SKIP_TAGSTART, $n) with n larger than a tag name, then xml_parse_into_struct()",https://github.com/php/php-src/blob/0e715e71d945b68f8ccedd62c5960df747af6625/ext/xml/tests/toffset_bounds.phpt,0e715e71d945b68f8ccedd62c5960df747af6625,8.1.32,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/0e715e71d945b68f8ccedd62c5960df747af6625,"ZSTR_VAL(tag_name) + parser->toffset was used without the SKIP_TAGSTART clamp (ext/xml/xml.c:670,739), reading past the tag-name zend_string (zend_string_alloc(len,0), Zend/zend_string.h (master:190)). GHSA-wg4p-4hqh-c3g9"
php,php-0000,2013,ext/openssl,oob-write,asn1_time_to_time_t,parse an X.509 cert whose ASN1_UTCTIME length field exceeds the NUL-terminated data (openssl_x509_parse),https://github.com/php/php-src/blob/c1224573c773b6845e83505f717fbf820fc18415/ext/openssl/tests/cve-2013-6420.phpt,c1224573c773b6845e83505f717fbf820fc18415,5.3.28,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/c1224573c773b6845e83505f717fbf820fc18415,buffer is estrdup((char*)timestr->data) at ext/openssl/openssl.c:652; writes *thestr='\0' at strbuf+length-3 past the estrdup'd bin slot
php,php-0002,2019,ext/fileinfo,oob-read,cdf_read_property_info,finfo_file() on a crafted OLE2/CDF document with a huge CDF_VECTOR nelements,,469820048df558040f6dec7c39471ad11e2a7cfb,7.2.25,system-malloc,caught,read-the-source,https://github.com/php/php-src/commit/469820048df558040f6dec7c39471ad11e2a7cfb,"the stream table over-read is scn->sst_tab = calloc(scn->sst_len, ss) at ext/fileinfo/libmagic/cdf.c:523,569 and the info array is plain realloc() at cdf.c:945; ext/fileinfo/libmagic/cdf.c defines no allocator macros, unlike apprentice.c which uses emalloc"
php,php-0005,2024,ext/ldap,int-overflow-to-oob,php_ldap_do_escape,ldap_escape() on a string long enough that len (3 bytes per escaped char) wraps size_t,https://github.com/php/php-src/blob/f9ecf90070a11dad09ca7671a712f81cc2a7d52f/ext/ldap/tests/GHSA-g665-fm4p-vhff-1.phpt,f9ecf90070a11dad09ca7671a712f81cc2a7d52f,8.1.31,zend-mm-bin,blind,read-the-source,https://github.com/php/php-src/commit/f9ecf90070a11dad09ca7671a712f81cc2a7d52f,"ret = zend_string_alloc(len, 0) at ext/ldap/ldap.c:3898 -> pemalloc(...,0) -> emalloc; wrapped len allocates a small bin slot and the escape loop then writes past it into neighbouring slots"
php,php-0006,2024,ext/mysqlnd,oob-read,ps_fetch_from_1_to_8_bytes,a hostile or MITM'd MySQL server sends a RESP/OK/row packet whose length-encoded field runs past the packet,https://github.com/php/php-src/blob/2f5aa9f9d150ca56e356f3ca9acf9d530108cb08/ext/mysqli/tests/ghsa-h35g-vwh6-m678-auth-message.phpt,2f5aa9f9d150ca56e356f3ca9acf9d530108cb08,8.1.31,zend-mm-large,blind,read-the-source,https://github.com/php/php-src/commit/2f5aa9f9d150ca56e356f3ca9acf9d530108cb08,"the packet is read into pfc->cmd_buffer.buffer = mnd_pemalloc(pfc->cmd_buffer.length, pfc->persistent) at ext/mysqlnd/mysqlnd_protocol_frame_codec.c:406; for a non-persistent connection pfc->persistent is 0 so mnd_pemalloc reaches emalloc (ext/mysqlnd/mysqlnd_alloc.c (master:73)); default buffer is 4096 B -> large run"
