id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,cheri_expectation,rationale,sqlite_assessment,verification,source,notes
CVE-2026-50813,2026,session extension,heap-oob-read || uninitialized-read,changeset concat / changegroup merge path || sqlite3changeset_concat / changegroup merge path,requires-extension:session || C-API-misuse,,https://sqlite.org/src/info/869a51ae84df,,direct-malloc,CAUGHT-candidate,session allocates via sqlite3_malloc,Not yet in the sqlite.org/cves.html table as of its 2026-08-01 update.,arena-inferred-from-file,https://nvd.nist.gov/vuln/detail/CVE-2026-50813 || https://security-tracker.debian.org/tracker/CVE-2026-50813,"CVSS 6.1 (V31) | CWE-126 | NVD: An issue in SQLite before Fossil check-in 869a51ae84df allows a local attacker to obtain sensitive information via the Session Extension changeset concat/changegroup merge path | Info disclosure via Session Extension changeset before Fossil check-in 869a51ae84df; class per NVD CWE (see notes). | refs: https://sqlite.org/src/info/869a51ae84df https://gist.github.com/junius-sec/f8acb66bafb80134c8e1a1c8c7c9f4f4 https://github.com/sqlite/sqlite/commit/c597ed79d1bd03f57198d10d1f431adda293cf2e || Information disclosure via the Session Extension changeset concat/changegroup merge path; fixed by Fossil check-in 869a51ae84df. bug_class inferred as an OOB read from 'obtain sensitive information' -- UNRESOLVED, the NVD text does not name the class explicitly. Needs -DSQLITE_ENABLE_SESSION. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Debian: bookworm/trixie vulnerable (no DSA, postponed), tagged 'Minor issue, OOB read'; fixed in forky/sid 3.53.4-2. Affected: SQLite before Fossil check-in 869a51ae84df. Fossil: https://sqlite.org/src/info/869a51ae84df"
CVE-2026-50812,2026,session extension,null-deref,sqlite3changeset_apply_v3 -> sqlite3_value_type,requires-extension:session || C-API-misuse || corrupt-db-file,,https://sqlite.org/src/info/e807d4e3798efd53,,direct-malloc,CAUGHT-candidate,session allocates via sqlite3_malloc,Not yet in the sqlite.org/cves.html table as of its 2026-08-01 update.,arena-inferred-from-file,https://nvd.nist.gov/vuln/detail/CVE-2026-50812 || https://security-tracker.debian.org/tracker/CVE-2026-50812,"CVSS 5.5 (V31) | CWE-476 | NVD: A NULL pointer dereference in the SQLite Session Extension in SQLite 3.53.1 and SQLite trunk builds before check-in e807d4e3798efd53 allows an attacker who can supply a malformed changeset blob to cause a denial of service. The issue occurs when sqlite3changeset_apply_v3() applies a corrupt changeset and reaches sqlite... | NULL pointer dereference in Session Extension of 3.53.1 and trunk before check-in e807d4e3798efd53. | refs: https://sqlite.org/src/info/e807d4e3798efd53 https://gist.github.com/junius-sec/bb556f333957c5226dede314db0e9e91 https://github.com/sqlite/sqlite/commit/b869ed6b067d623cb1383549f2a18aa35508385d || Malformed changeset blob applied via sqlite3changeset_apply_v3() reaches sqlite3_value_type() with a NULL sqlite3_value pointer. Affects 3.53.1 and trunk before check-in e807d4e3798efd53. Same changeset-parsing surface as CVE-2023-7104, three years later. Needs -DSQLITE_ENABLE_SESSION. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Affected: SQLite 3.53.1 and trunk builds before check-in e807d4e3798efd53. Trigger is a malformed changeset blob, not a db file per se. Debian: bookworm/bullseye postponed 'Minor issue, DoS'; trixie no-dsa; fixed forky/sid. Fossil: https://sqlite.org/src/info/e807d4e3798efd53"
CVE-2026-39113,2026,core (trunk snapshot only) || ext-misc:sqlar || requires-extension:sqlar (ext/misc/sqlar.c),heap-overflow-write,sqlarUncompressFunc / sqlar_uncompress || sqlar_uncompress / sqlite3_malloc(int) allocation in ext/misc/sqlar.c,plain-SQL || corrupt-db-file || requires-extension:sqlar,https://github.com/20000419/CVE-2026-39113,"8bdc0d485e3ad0c7a1e818da66f106951d496b05cbe61d12c2c448f2f24b6d5d (the check-in that INTRODUCED it; git mirror 169f68ed88b34cb68f720191c64c058f2ccec508, 2026-03-11)",,lookaside?,ARENA-DECIDES,"core, but no file named -- needs tracing",Not yet in the sqlite.org/cves.html table as of its 2026-08-01 update.,arena-inferred-from-file,https://nvd.nist.gov/vuln/detail/CVE-2026-39113 || https://security-tracker.debian.org/tracker/CVE-2026-39113,"CVSS 4.0 (V31) | CWE-122 | NVD: Buffer Overflow vulnerability in SQLite affected version source snapshots/builds containing Fossil check-in 8bdc0d485e3ad0c7a1e818da66f106951d496b05cbe61d12c2c448f2f24b6d5d (Git mirror 169f68ed88b34cb68f720191c64c058f2ccec508, 2026-03-11) and later snapshots/builds allows an attacker to cause a denial of service via th... | CWE-122; affects only source snapshots/builds containing a specific Fossil check-in (8bdc0d485e3a...), never an official release. | refs: https://www.sqlite.org/ https://www.sqlite.org/sqlar.html https://github.com/20000419/CVE-2026-39113 https://github.com/sqlite/sqlite/blob/169f68ed88b34cb68f720191c64c058f2ccec508/ext/misc/sqlar.c https://github.com/sqlite/sqlite/commit/169f68ed88b34cb68f720191c64c058f2ccec508 || ext/misc/sqlar.c. NOTE the unusual framing: the named check-in is the one that introduced the regression ('and later snapshots/builds'), not the fix -- do not read fix_commit here as a fix. Affects source snapshots rather than a numbered release. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Debian names git-mirror commit 169f68ed88b34cb68f720191c64c058f2ccec508 (version-3.53.0). NVD text names the INTRODUCING fossil check-in 8bdc0d485e3ad0c7a1e818da66f106951d496b05cbe61d12c2c448f2f24b6d5d (git mirror 169f68ed..., 2026-03-11) -- the two references disagree on whether that hash introduces or fixes; treat with care. Debian trixie: no-dsa (Minor issue); fixed forky/sid 3.53.4-2."
CVE-2026-11824,2026,fts5 extension || requires-extension:FTS5,heap overflow write || heap-overflow-write,fts5ChunkIterate() (duplicate cluster of 11822) || fts5ChunkIterate (szLeaf < 4 integer underflow on continuation pages),plain-SQL || corrupt-db-file,,"https://sqlite.org/src/info/061febcf41ca || 061febcf41ca, 4a5ad516ea93",3.53.2 (2026-06-03),direct-malloc,CAUGHT-spatial,"same | arena read from source, see sqlite-arenas.md","An attacker who can execute arbitrary SQL (for example via SQL injection) on a system that has the SQLITE_DBCONFIG_DEFENSIVE disabled and which has FTS5 enabled, can cause a write off the end of a heap buffer. There are two separate CVEs for this same exact problem. || Fixed in 3.53.2; vendor says same vulnerability as CVE-2026-11822. || Same sqlite.org row as CVE-2026-11822: 'There are two separate CVEs for this same exact problem.'",arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2026-11824 || https://github.com/advisories/GHSA-8g48-4wfm-7247 || https://security-tracker.debian.org/tracker/CVE-2026-11824,"Duplicate of CVE-2026-11822 (sqlite.org: two separate CVEs for the same exact problem). || CVSS 7.8 (V31) | CWE-122 | NVD: SQLite before 3.53.2 contains a heap-based buffer overflow vulnerability in the FTS5 full-text search extension that allows attackers to cause a crash or execute arbitrary code by supplying a crafted database with malicious continuation page metadata specifying a szLeaf value smaller than 4. Attackers can trigger an in... | szLeaf < 4 in continuation-page metadata causes integer underflow then heap buffer overflow during MATCH query. | refs: https://sqlite.org/releaselog/3_53_2.html https://sqlite.org/src/info/061febcf41ca https://sqlite.org/src/info/4a5ad516ea93 https://www.vulncheck.com/advisories/sqlite-before-heap-buffer-overflow-via-fts5-fts5chunkiterate || Continuation-page metadata declaring szLeaf < 4 causes an integer UNDERFLOW in fts5ChunkIterate, inflating the remaining-byte count and producing a heap write past the buffer. Advisory scopes it to 'applications compiled with SQLITE_ENABLE_FTS5'. FTS5 needs -DSQLITE_ENABLE_FTS5. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Debian lists TWO fossil check-ins for this and for CVE-2026-11822: 061febcf41ca and 4a5ad516ea93. Affected: SQLite before 3.53.2. Debian trixie no-dsa, bookworm/bullseye postponed (Minor issue). https://sqlite.org/src/info/061febcf41ca https://sqlite.org/src/info/4a5ad516ea93"
CVE-2026-11822,2026,fts5 extension || requires-extension:FTS5,heap OOB read || heap-overflow-write || heap-oob-read,fts5LeafSeek() || fts5ChunkIterate || fts5LeafSeek (and related FTS5 page walkers),plain-SQL || corrupt-db-file,https://zeropath.com/blog/cve-2026-11822-sqlite-fts5-memory-corruption,"https://sqlite.org/src/info/061febcf41ca || 061febcf41ca, 4a5ad516ea93",3.53.2 (2026-06-03),direct-malloc,CAUGHT-spatial,"leaf buffer is its own allocation | arena read from source, see sqlite-arenas.md","An attacker who can execute arbitrary SQL (for example via SQL injection) on a system that has the SQLITE_DBCONFIG_DEFENSIVE disabled and which has FTS5 enabled, can cause a write off the end of a heap buffer. There are two separate CVEs for this same exact problem. || Fixed in 3.53.2; requires FTS5 enabled and SQLITE_DBCONFIG_DEFENSIVE disabled, plus attacker-controlled database file. || 'An attacker who can execute arbitrary SQL (for example via SQL injection) on a system that has the SQLITE_DBCONFIG_DEFENSIVE disabled and which has FTS5 enabled, can cause a write off the end of a heap buffer. There are two separate CVEs for this same exact problem.'",arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2026-11822 || https://www.vulncheck.com/advisories/sqlite-before-memory-corruption-in-fts5-extension || https://security-tracker.debian.org/tracker/CVE-2026-11822,"Requires SQLITE_DBCONFIG_DEFENSIVE disabled and FTS5 enabled. Same bug as CVE-2026-11824. cves.html gives no fix check-in; candidate fts5 buffer-overwrite fixes in the 3.53.0->3.53.2 fossil timeline: 061febcf41 (2026-05-11), 02733fc4bc (2026-05-25), e583a723fa (2026-06-03) - not confirmed which maps to this CVE. || CVSS 7.8 (V31) | CWE-122 | NVD: SQLite before 3.53.2 contains memory corruption vulnerabilities in the FTS5 full-text search extension that allow attackers to cause process crashes, memory exhaustion, or arbitrary code execution by supplying a crafted database with malformed FTS5 page data. Attackers can trigger an out-of-bounds read in fts5LeafSeek(... | Integer underflow on crafted FTS5 continuation-page metadata inflates remaining byte count, then heap OOB write; crash to possible code execution. | refs: https://sqlite.org/releaselog/3_53_2.html https://sqlite.org/src/info/061febcf41ca https://sqlite.org/src/info/4a5ad516ea93 https://www.vulncheck.com/advisories/sqlite-before-memory-corruption-in-fts5-extension || OOB read via an attacker-controlled loop bound during leaf-page processing; fires when an FTS5 MATCH query runs against the malicious database. sqlite.org treats CVE-2026-11822 and CVE-2026-11824 as ONE problem with two CVE ids. FTS5 needs -DSQLITE_ENABLE_FTS5. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Same upstream fix pair as CVE-2026-11824: 061febcf41ca and 4a5ad516ea93. Affected: SQLite before 3.53.2. Crafted db with malformed FTS5 page data. Debian trixie no-dsa, bookworm/bullseye postponed."
CVE-2025-70873,2025 || 2026,zipfile extension || ext-misc:zipfile || requires-extension:zipfile,heap-oob-read || uninitialized-read,zipfile extension ZIP parsing || zipfileInflate,requires-extension:zipfile || corrupt-db-file,malformed ZIP file fed to the zipfile extension (usually present in CLI builds) || https://gist.github.com/cnwangjihe/f496393f30f5ecec5b18c8f5ab072054,9766b47beb || https://sqlite.org/src/info/3d459f1fb1bd1b5e,3.52.0 (2026-03-06),direct-malloc,CAUGHT-candidate,zipfile allocates via sqlite3_malloc,"When using the zipfile extension (not a part of standard SQLite but usually included in builds of the CLI), a malformed ZIP file input can result in an out-of-bounds read. || Zipfile extension malformed input; fixed in 3.52.0. || 'When using the zipfile extension (not a part of standard SQLite but usually included in builds of the CLI), a malformed ZIP file input can result in an out-of-bounds read.'",arena-inferred-from-file,https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2025-70873 || https://sqlite.org/cves.html || https://security-tracker.debian.org/tracker/CVE-2025-70873,"Fix check-in 9766b47beb9ec72f 'Do not return too many bytes from the zipfile extension given a malformed ZIP file. CVE-2025-70873.' Reported in forum post 761eac3c82. || CVSS 7.5 (V31) | CWE-244 | NVD: An information disclosure issue in the zipfileInflate function in the zipfile extension in SQLite v3.51.1 and earlier allows attackers to obtain heap memory via supplying a crafted ZIP file. | CWE-244: heap memory disclosure via crafted zip archive processed by zipfile extension. | refs: https://sqlite.org/forum/forumpost/761eac3c82 https://sqlite.org/src/info/3d459f1fb1bd1b5e https://gist.github.com/cnwangjihe/f496393f30f5ecec5b18c8f5ab072054 || Attackers obtain heap memory via a crafted ZIP file. Reported in a forum post 2025-12-06T16:46:32Z, fixed in trunk by check-in 2025-12-06T23:58:09.413Z -- same day. This is a real FILE-parsing trigger, no SQL injection required. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || NOT-AFFECTED-STYLE SIGNAL: Debian classes this 'unimportant' and states 'zipfile extension not build for Debian binary package builds' -- vulnerable across all suites but not reachable in the default Debian build. Affects v3.51.1 and earlier; leaks heap memory via a crafted ZIP."
CVE-2025-52099,2025,C-language API (lookaside configuration),,sqlite3_db_config(SQLITE_DBCONFIG_LOOKASIDE),C-API-misuse,same as CVE-2025-29088,1ec4c308c7,3.49.1 (2025-02-18),n/a,N/A-not-heap,not library heap memory,"Passing out-of-bounds arguments to the C-language API routine sqlite3_db_config(db,SQLITE_DBCONFIG_LOOKASIDE,...) can lead to a crash and denial of service. Reported by Forum post 48f365daec. Complaint addressed by check-in 2025-02-17T14:16Z.",arena-inferred-from-file,https://www.sqlite.org/cves.html,Duplicate of CVE-2025-29088.
CVE-2025-29088,2025,C-language API (lookaside configuration) || C API (sqlite3_db_config) || core (C API),integer-overflow,sqlite3_db_config(SQLITE_DBCONFIG_LOOKASIDE) || sqlite3_db_config (SQLITE_DBCONFIG_LOOKASIDE) || sqlite3_db_config (sz*nBig multiplication not cast to 64-bit),C-API-misuse,"call sqlite3_db_config(db, SQLITE_DBCONFIG_LOOKASIDE, ...) with out-of-bounds size/count arguments",1ec4c308c76c69fb,3.49.1 (2025-02-18),n/a,N/A-not-heap,not library heap memory,"Passing out-of-bounds arguments to the C-language API routine sqlite3_db_config(db,SQLITE_DBCONFIG_LOOKASIDE,...) can lead to a crash and denial of service. Reported by Forum post 48f365daec. Complaint addressed by check-in 2025-02-17T14:16Z. || Fixed in 3.49.1 (check-in 2025-02-17); out-of-bounds arguments to sqlite3_db_config.",arena-inferred-from-file,https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2025-29088 || https://security-tracker.debian.org/tracker/CVE-2025-29088,"Crash/DoS from out-of-bounds arguments; exact memory-error class not stated by sqlite.org. Fix check-in 1ec4c308c7 'Harden the SQLITE_DBCONFIG_LOOKASIDE interface against misuse'. Reported in forum post 48f365daec. Same bug as CVE-2025-52099. || CVSS 5.6 (V31) | CWE-190 | NVD: In SQLite 3.49.0 before 3.49.1, certain argument values to sqlite3_db_config (in the C-language API) can cause a denial of service (application crash). An sz*nBig multiplication is not cast to a 64-bit integer, and consequently some memory allocations may be incorrect. | sz*nBig multiplication not cast to 64-bit; DoS. CVE-2025-52099 is a REJECTED duplicate of this. | refs: https://sqlite.org/forum/forumpost/48f365daec https://sqlite.org/releaselog/3_49_1.html https://www.sqlite.org/cves.html https://gist.github.com/ylwango613/d3883fb9f6ba8a78086356779ce88248 https://github.com/sqlite/sqlite/commit/56d2fd008b108109f489339f5fd55212bb50afd4 || Debian gives fossil 1ec4c308c76c69fb and git mirror 56d2fd008b108109f489339f5fd55212bb50afd4. REACHABILITY SIGNAL: Debian note says 'OOB to setup API; API in question is only accessible from programms that invoke SQLite. Not reachable from rouge SQL inputs or specially crafted database files.' Affected 3.49.0 before 3.49.1; bookworm vulnerable, fixed trixie/forky/sid."
CVE-2025-29087,2025,concat_ws() || core SQL functions || core (func.c),duplicate of CVE-2025-3277 || heap-overflow-write || integer-overflow,- || concat_ws || concat_ws(),plain-SQL,same as CVE-2025-3277,498e3f1cf57f164f,3.49.1 (2025-02-18),db-heap,CAUGHT-spatial-likely,duplicate,"A bug in the concat_ws() SQL function can cause a write past the end of an array obtained from malloc(). If an attacker can control the first argument to concat_ws(), so that the separator string is large - more than 2MB - then an integer overflow in the calculation of the size of the result buffer might cause a short malloc() and subsequent write past the end of the allocated space. Fixed by check-in 2025-02-16T10:57z. || Fixed in 3.49.1 (check-in 2025-02-16); requires arbitrary SQL with huge separator argument.",sqlite.org-assessed,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2025-29087 || https://security-tracker.debian.org/tracker/CVE-2025-29087,"Duplicate of CVE-2025-3277. || CVSS 3.2 (V31) | CWE-190 | NVD: In SQLite 3.44.0 through 3.49.0 before 3.49.1, the concat_ws() SQL function can cause memory to be written beyond the end of a malloc-allocated buffer. If the separator argument is attacker-controlled and has a large string (e.g., 2MB or more), an integer overflow occurs in calculating the size of the result buffer, an... | Integer overflow in concat_ws() with multi-hundred-MB separator writes past end of malloc buffer; same root cause as CVE-2025-3277. | refs: https://sqlite.org/releaselog/3_49_1.html https://www.sqlite.org/cves.html https://gist.github.com/ylwango613/a44a29f1ef074fa783e29f04a0afd62a || Affected 3.44.0 through 3.49.0, fixed v3.49.1. Debian: bookworm and bullseye <not-affected> (vulnerable code not present) -- concat_ws was added in 3.44.0. Integer overflow leading to memory corruption."
CVE-2025-7709,2025,fts5 extension || requires-extension:FTS5,int overflow -> OOB (corrupt index) || heap-oob-read || integer-overflow,requires attacker-controlled db file || fts5 tombstone array handling || fts5 tombstone hash (segment merge) || SZ_FTS5TOMBSTONEARRAY (tombstone-pointer array sizing) || tombstone-pointer array size calculation truncated to 32-bit (FTS5),corrupt-db-file || requires-extension:fts5,corrupt FTS5 index with oversized tombstone array size fields causing integer overflow || https://github.com/google/security-research/security/advisories/GHSA-v2c8-vqqp-hv3g || yes -- PoC with an FTS5 MATCH query published on oss-security.,63595b74956a9391,3.50.3 (2025-07-17),direct-malloc,CAUGHT-spatial,"fts5 leaf page blob is its own allocation | arena read from source, see sqlite-arenas.md",An attacker who has complete control over the database content could create a corrupt FTS5 index resulting access to memory outside the bounds of an array due to integer overflow. Fixed on 2025-07-15. || FTS5 corruption causing array access violation; fixed in 3.50.3 (2025-07-15). || 'An attacker who has complete control over the database content could create a corrupt FTS5 index resulting access to memory outside the bounds of an array due to integer overflow. Fixed on 2025-07-15.',arena-verified-by-component,seed:sqlite.org+nvd || https://www.sqlite.org/cves.html || https://nvd.nist.gov/vuln/detail/CVE-2025-7709 || https://seclists.org/oss-sec/2025/q3/150 || https://security-tracker.debian.org/tracker/CVE-2025-7709,"Requires attacker control over database content. Fix check-in 63595b74956a9391 'Optimize allocation of large tombstone arrays in fts5' (2025-07-15). sqlite.org says 'access to memory outside the bounds of an array' - direction (read/write) not stated; classified as OOB read per changelog 'possible memory error'. || CWE-190 | NVD: An integer overflow exists in the  FTS5 https://sqlite.org/fts5.html  extension. It occurs when the size of an array of tombstone pointers is calculated and truncated into a 32-bit integer. A pointer to partially controlled data can then be written out of bounds. | Tombstone-pointer array size truncated to 32-bit; pointer to partially controlled data written out of bounds. | refs: https://github.com/google/security-research/security/advisories/GHSA-v2c8-vqqp-hv3g http://www.openwall.com/lists/oss-security/2025/09/06/2 http://www.openwall.com/lists/oss-security/2025/11/18/10 || The 64-bit multiplication in SZ_FTS5TOMBSTONEARRAY is truncated to 32 bits past 2^32-1, so a short allocation receives a pointer written out of bounds -- a POINTER, not just data, which is why this one is more interesting than its CVSS suggests. Reported 2025-07-15, fixed 2025-07-16. Also reachable by an attacker who can run arbitrary queries. FTS5 needs -DSQLITE_ENABLE_FTS5. Not in a default build and NOT in our Capstone build: capstone/benchmarks/sqlite/build-sqlite-capstone.sh passes no -DSQLITE_ENABLE_* for it. || Debian gives fossil 63595b74956a9391 AND git mirror 192d0ff8ccf0bf55776a5930cdc64e25f87299d6. Out-of-bounds WRITE of a pointer to partially controlled data. Debian bookworm no-dsa (Minor issue); bullseye not-affected (vulnerable code introduced later); fixed in trixie/forky/sid. GHSA-v2c8-vqqp-hv3g."
