id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes,introduced_in,shipped_in_release,release_evidence,build_config,repro_sql,repro_test,oracle
fossil:6ede22e13f8e85c1,2026,ext-misc:nextchar (spellfix),heap-oob-read,findNextChars,plain-SQL+requires-extension:nextchar,test/spellfix.test (added by the fix),987675a440267ee809713c02ffd8f59f0027af23,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/987675a440267ee809713c02ffd8f59f0027af23,"readUtf8(zOut + p->nPrefix, &cNext) at ext/misc/nextchar.c:188 with no check that the returned word is longer than the prefix; zOut = sqlite3_column_text(p->pStmt,0) (ext/misc/nextchar.c:182) is the sub-statement's register buffer, produced by OP_Column -> sqlite3VdbeMemGrow -> sqlite3DbMallocRaw(db,len+2) at src/vdbemem.c:276 (OP_Column always copies string/blob column values into pDest->zMalloc and zero-fills two pad bytes); vocabulary words are far under the 1200-byte slot, so the read past the word lands inside a lookaside slot; only a word longer than ~1198 B would put the buffer on the system heap",ea41dc44c579fe48b3130c43ef040e07ca2875b0,yes,"Intro ea41dc44c579 2013-04-25 (the commit that added ext/misc/nextchar.c; blame of the pre-fix readUtf8(zOut+p->nPrefix,&cNext) line at 987675a44026^ attributes it entirely to that commit). Fix 987675a44026 2026-06-23. 155 tagged releases contain the intro but not the fix, version-3.7.17 (2013-05-20) through version-3.53.4 (2026-07-24). The fix is on trunk only and is in no release yet.",requires ext/misc/nextchar.c compiled in or loaded (next_char() is not part of a stock build); test harness uses load_static_extension db spellfix nextchar,"DROP TABLE IF EXISTS t1; CREATE TABLE d(w); INSERT INTO d VALUES(1); WITH RECURSIVE cnt(n) AS (VALUES(1) UNION ALL SELECT n+1 FROM cnt WHERE n<100) SELECT sum(length(next_char(printf('%.*c',1000000,'A'), 'd', 'substr(printf(''%.*c'',2000000,''A''),1,if(abs(random())%2=0,1000001,1))')))>0 FROM cnt;",test/spellfix.test 8.1,"Upstream test asserts the query returns 1. The defect itself is silent: readUtf8 reads past the end of the sub-statement's column buffer whenever the returned word is no longer than the prefix, and with lookaside on those bytes come from the same slab, so the query still returns a value. Expect an ASAN/valgrind heap-buffer-overflow READ in readUtf8 only when lookaside is disabled or the word exceeds ~1198 B (inferred from the fix and the allocation path, not measured here)."
sqlite-764881119d63,2026,core,use-after-free,sqlite3_backup_step,C-API-misuse+plain-SQL,https://github.com/sqlite/sqlite/blob/764881119d638c0e9390f2687b1d0865e6b8e196/test/backup5.test,764881119d638c0e9390f2687b1d0865e6b8e196,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/764881119d638c0e9390f2687b1d0865e6b8e196,"sqlite3_backup cached Db* pSrc/pDest into db->aDb[]. ATTACH moves that array off db->aDbStatic with aNew = sqlite3DbMallocRawNN(db, sizeof(db->aDb[0])*3) at src/attach.c:164 and grows it with sqlite3DbRealloc at src/attach.c:168. sizeof(Db)=32 (src/sqliteInt.h:1481-1487), so 3 entries = 96 bytes, well under lookaside sz 1200, and ATTACH runs at statement execution with lookaside enabled; sqlite3DbRealloc frees the old in-range block back onto the lookaside freelist, so the stale Db* still points inside the slab: blind. The fix replaces the pointers with schema indexes.",97901bbd69b61f614a050dfa877ab5ac6dc598f8,no,"Intro 97901bbd69b6 2026-04-29, which changed sqlite3_backup's fields from Btree *pSrc/pDest to Db *pSrc/pDest (verified in that commit's src/backup.c hunk), so the object began caching pointers into db->aDb[]. Fix 764881119d63 2026-06-23. Zero tagged releases contain the intro but not the fix. Confirmed directly against release sources: the string 'Db *pSrc;' is absent from src/backup.c in version-3.53.0 (2026-04-09), 3.53.1, 3.53.2, 3.53.3 and 3.53.4 (2026-07-24) -- the last of which post-dates both commits -- because the 3.53 release branch was cut before the intro. The defect existed on trunk only, between 2026-04-29 and 2026-06-23.",default,"CREATE TABLE t1(a, b); CREATE TABLE t2(a, b); INSERT INTO t2 VALUES(1, 1); INSERT INTO t2 VALUES(2, 2); INSERT INTO t2 VALUES(3, 3); CREATE INDEX i1 ON t1(a); CREATE INDEX i2 ON t2(a); ATTACH 'test.db2' AS aux2; -- then in C: sqlite3_backup_init(db2,""main"",db,""main""); sqlite3_backup_step(B,1); -- then on the source connection: ATTACH 'test.db3' AS aux3; ATTACH 'test.db4' AS aux4; ATTACH 'test.db5' AS aux5; ATTACH 'test.db6' AS aux6; ATTACH 'test.db7' AS aux7; ATTACH 'test.db8' AS aux8; -- then: sqlite3_backup_step(B,200); sqlite3_backup_finish(B);",test/backup5.test 2.1,"Upstream test asserts sqlite3_backup_finish returns SQLITE_OK. The six ATTACHes grow db->aDb off db->aDbStatic, freeing the old ~96-byte array back onto the lookaside freelist, so the cached Db* in the backup object is stale; the second backup step then reads it. Because the free is only a freelist push the read is silent -- expect a wrong page count, a corrupted destination, or SQLITE_ERROR rather than a crash; ASAN heap-use-after-free only with lookaside disabled."
sqlite-ce512d422953,2026,spellfix extension,heap-oob-read,spellfix1FilterForMatch,plain-SQL+requires-extension:spellfix1,CREATE VIRTUAL TABLE t1 USING spellfix1; INSERT INTO t1(word) VALUES('hello'); SELECT word FROM t1 WHERE word MATCH '';,ce512d422953512e4e9a55e83ae688671da1697e,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/ce512d422953512e4e9a55e83ae688671da1697e,"zPattern[nPattern-1] with nPattern==0 reads ONE BYTE BEFORE the object (ext/misc/spellfix.c:2605). zPattern is sqlite3_value_text of the MATCH argument; for the '' literal in the repro that is the OP_String P4 string built by sqlite3DbStrNDup(db,"""",0) -> a 1-byte request (src/vdbeaux.c:1562), hence a 128-byte LOOKASIDE_SMALL slot. Small slots begin at lookaside.pMiddle, after every big slot, so byte -1 can never precede the slab base (src/main.c:810 setupLookaside) - the read always lands inside the one sqlite3Malloc'd slab. batch-id=fossil:e58d5efc7b338756",2deb165f4b07bbac98e6ce4b4e983073dd9ff6a3,yes,"Intro 2deb165f4b07 2012-07-13 (blame of zPattern[nPattern-1] at ce512d422953^ names it; the file was src/test_spellfix.c then and was later moved to ext/misc/spellfix.c). Fix ce512d422953 2026-06-23. 163 tagged releases contain the intro but not the fix, version-3.7.14 (2012-09-03) through version-3.53.4 (2026-07-24). The fix is on trunk only and is in no release yet.","requires the spellfix1 extension (ext/misc/spellfix.c) compiled in or loaded, and virtual-table support (test is gated on ifcapable !vtab)","DROP TABLE IF EXISTS t1; CREATE VIRTUAL TABLE t1 USING spellfix1; INSERT INTO t1(word) VALUES('hello'),('world'); SELECT word FROM t1 WHERE word MATCH '';",test/spellfix.test 8.2,"Upstream test asserts the query returns {hello world}. The read is one byte BEFORE the allocation, so it cannot fault: per the row's notes the empty-string literal lands in a 128-byte LOOKASIDE_SMALL slot that always sits above the slab base, so byte -1 is always inside the slab. Observable only as an ASAN heap-buffer-overflow READ of size 1 with lookaside disabled; otherwise the only effect is that nPattern may be decremented on a stray '*' byte, silently altering the MATCH."
fossil:a43c78f9f6a4a83b,2026,core (JSONB),heap-oob-read,jsonTranslateBlobToText,plain-SQL,SELECT json(x'6B37616263162d');,c8074bb0d77f04500b0a6ce29c9525e07c73a96d,3.53.4,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/c8074bb0d77f04500b0a6ce29c9525e07c73a96d,"a FLOAT5 element whose payload is just '-' makes the decoder do k++ and then read zIn[k] one byte past the element, i.e. past the end of the blob when the element is last (src/json.c:2255 pre-fix); zIn = &pParse->aBlob[i] and aBlob is the argument's own blob buffer, p->aBlob = (u8*)sqlite3_value_blob(pArg) at src/json.c:3625; for the committed repro (a blob literal) that buffer is sqlite3HexToBlob -> sqlite3DbMallocRawNN(db,n/2+1) at src/util.c:1901, 8 bytes; for a table column it is OP_Column -> sqlite3VdbeMemGrow -> sqlite3DbMallocRaw(db,len+2) at src/vdbemem.c:276; both are the connection allocator and both are far under 1200 B, so the byte read is inside a lookaside slot",e1e2f2dcc5b76ef2bb2ce7c0e59f67b8913b74a2,yes,"intro e1e2f2dcc5b7 (2023-10-06) rewrote the JSONB FLOAT5 branch into the k++ / zIn[k] form that the fix replaces; git tag --contains puts it first in version-3.45.0 (2024-01-15). Fix c8074bb0d77f (2026-07-04) is first in version-3.53.4 (2026-07-24). 27 release tags, version-3.45.0 through version-3.53.3, contain the introducing commit and not the fix.",default,SELECT json(x'6B37616263162d');,test/jsonb01.test jsonb01-3.0,"MEASURED at c8074bb0d77f^: returns the text [""abc"",-] (not valid JSON) instead of raising an error. No ASAN report in either lookaside arm, because sqlite3HexToBlob over-allocates by one byte (7-byte blob in an 8-byte allocation) so the 1-byte overread stays in bounds of the allocation. Post-fix the same statement returns SQLITE_ERROR 'malformed JSON'."
sqlite-a458960c1855,2026,VDBE,heap-overflow-write,sqlite3VdbeExec OP_MakeRecord,plain-SQL,,a458960c18555de350d30493b29e94cd14b196ae,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/a458960c18555de350d30493b29e94cd14b196ae,"zPayload points into the record buffer being built by OP_MakeRecord, which is the output Mem payload from sqlite3VdbeMemClearAndResize -> sqlite3VdbeMemGrow -> sqlite3DbMallocRaw (src/vdbemem.c:276). A record under 1200 B is a lookaside slot. The OVERRUN macro deliberately memcpy-ed a full 8 bytes where only len were needed, relying on allocator slack past the logical end of the field; inside a 1200 B slot that slack always exists, so the write stays in the slab and no bounds fault occurs.",15b79d7af88471629ed2dcb8b5fa3406c4d573fc,no,"intro 15b79d7af884 2026-08-10T15:36:31Z ('Experimental changes to improve performance of the OP_MakeRecord opcode ... This change is not yet 100% correct ... Parking on a branch') and fix a458960c1855 2026-08-10T16:27:10Z are 51 minutes apart on the un-merged optimized-makerecord branch. git tag --contains returns ZERO version tags for either commit. Positive control on the same query: the row-0 pair returns 27 tags, so the check does fire.","default source, but the defect is only in the SQLITE_BYTEORDER!=0 arms (==1234 and ==4321); the generic byte-at-a-time #else arm is unaffected. Present only on the optimized-makerecord branch, never in a release.","CREATE TABLE t(a,b,c,d,e,f); INSERT INTO t VALUES(7,300,70000,17000000,4300000000,1100000000000); SELECT a,b,c,d,e,f FROM t;",,"MEASURED at 15b79d7af884: ASAN 'unknown-crash, READ of size 8' inside sqlite3VdbeExec (OP_MakeRecord), reported at stack offset 471 of the sqlite3VdbeExec frame - memcpy(zPayload,(u8*)&v+8-len,8) reads 8-len bytes past the 8-byte local v and copies them into the record. The same statement on trunk returns 7|300|70000|17000000|4300000000|1100000000000. repro_sql derived from the changed code (small-integer serial types 1-6) and then verified by running it; the fix added no test."
sqlite-f0c63df28809,2026,select,uninitialized-read,sqlite3ProcessJoin,plain-SQL+requires-extension:vtab,,f0c63df28809d7a10e143bb744c1ed5bba854793,,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/f0c63df28809d7a10e143bb744c1ed5bba854793,"Reads pRight->u1.pFuncArg on a SrcItem whose fg.isTabFunc was not set, so the u1 union member is the wrong variant - a slot read as the wrong type. SrcItem (72 B) lives inside the SrcList allocated by sqlite3DbMallocRawNN on a SELECT parse, well inside the 1200 B slot, so the misread bytes come from a neighbouring field of the same lookaside slot.",612bee531ff9a60b9c53ba98faf09a1b8e3cc4b1,yes,"intro 612bee531ff9 (2026-02-09) added the 'IsVirtual(pRightTab) && joinType==EP_OuterON && pRight->u1.pFuncArg' test; first release tag containing it is version-3.52.0. The fix f0c63df28809 (2026-06-26) is on trunk (origin/master) and is in NO tagged release yet - version-3.53.4 (2026-07-24) is a 3.53 release-branch tag and does not contain it. 6 tags, version-3.52.0 through version-3.53.4, carry the bug without the fix.",needs any virtual table on the RHS of an outer join; the regression test guards on SQLITE_ENABLE_RTREE (ifcapable rtree),"CREATE TABLE t1(a); CREATE VIRTUAL TABLE rr USING rtree(id, a, b); CREATE TRIGGER r1 AFTER DELETE ON t1 BEGIN SELECT a FROM t1 NATURAL LEFT JOIN rr; END; DELETE FROM t1;",test/triggerE.test 3.0,"MEASURED at f0c63df28809^ built -DSQLITE_ENABLE_RTREE: with lookaside DISABLED, valgrind reports 'Conditional jump or move depends on uninitialised value(s) at sqlite3ProcessJoin', via selectExpander <- codeTriggerProgram <- sqlite3GenerateRowDelete <- sqlite3DeleteFrom. With lookaside ON (default) valgrind is silent, which is why the fix's own test calls sqlite3_config_lookaside 0 0 first. The query returns rc=0 and the right answer in both arms - warning only, no wrong answer."
fossil:f567ea96905ec58b,2026,RTREE extension,heap-oob-read,rtreenode(),,,3a621d8a58cc811cf749aea4b6b02c74036aa234,,lookaside,blind,read-the-source,https://sqlite.org/src/info/f567ea96905ec58b,"allocated by the extension itself via sqlite3_malloc*/sqlite3_realloc*. Verified globally: grep for sqlite3DbMalloc/DbFree/DbRealloc over ext/*.c returns NO files, while the same pattern over src/*.c returns 170 hits (positive control), so no shipped extension uses the connection allocator. Ordinary CORRECTED after adversarial audit (instrumented, positive+negative controlled): same shape as CVE-2019-8457: rtreenode() reads a caller-supplied sqlite3_value blob. Upstream PoC in the fix commit is rtreenode(1, x'00000001'||randomblob(15)), a 19-byte value, which measures as a 128 B lookaside slot.",e41fd72acc7a06ce5a6a7d28154db1ffe8ba37a8 (2019-03-20),yes,"git blame of the bounds check at ext/rtree/rtree.c:3778 @3a621d8a58cc^ gives e41fd72acc7 (2019-03-20), which added both 'if(nData<4)' and the short 'if(nData<NCELL(&node)*tree.nBytesPerCell)'. Fix 2026-01-09 (the CSV's 3a621d8a is the branch-3.51 backport; trunk twin is 4b93124b6b1c, same day). 72 release tags contain the introducing commit but not the fix, from version-3.28.0 (2019-04-16) through version-3.51.1 (2025-11-28); first release carrying the fix is version-3.51.2 (2026-01-09).",SQLITE_ENABLE_RTREE,"SELECT rtreenode(1,x'00000001'||randomblob(15));",ext/rtree/rtreeB.test rtreeB-2.1,"rtreenode() decodes one cell from a 19-byte blob that holds only a 4-byte header, reading past the end; before the fix it returns a non-NULL cell string, after the fix it returns NULL (rtreeB-2.1 asserts IS NULL). Upstream's trunk commit notes it is almost certainly harmless in practice because allocations round up to a multiple of 8 bytes, so the read usually stays in bounds; an ASAN heap-buffer-overflow read requires an allocator that does not round up. rtreenode() is registered unconditionally by sqlite3RtreeInit, so no SQLITE_TEST build is needed."
sqlite-a7200804eb4a,2026,printf,heap-overflow-write,sqlite3_str_vappendf,plain-SQL,"SELECT format('%!.0e',-1e100)",a7200804eb4aeb35229388a37ea00af27559bd25,3.53.0,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/a7200804eb4aeb35229388a37ea00af27559bd25,"StrAccum output buffer of the SQL format()/printf() function: sqlite3StrAccumInit(&str,db,0,0,..) src/func.c:326 then growth via sqlite3DbRealloc(p->db,zOld,nAlloc) src/printf.c:1135 with a non-NULL db, so it is a connection-allocator slot; szBufNeeded was 2 bytes short of what the float formatter writes, and because nAlloc is set from sqlite3DbMallocSize the slot is the full 128-byte LOOKASIDE_SMALL (9-byte request in the repro), so the extra bytes stay inside the arena; only outputs over 1200 bytes fall through to sqlite3Malloc.",eb0cb3f53b521dfd9f3a5e1ee36d72d4505c430e (2026-03-28),no,"git blame of src/printf.c:624 @a7200804eb4a^ gives eb0cb3f53b (2026-03-28), which wrote the '+8' szBufNeeded expression. Fix a7200804eb is 2026-04-08, 11 days later. Zero release tags fall in that window by either test: topologically 0 tags contain the introducing commit but not the fix, and by date the nearest tags are version-3.52.0 (2026-03-06) and version-3.51.3 (2026-03-13), both BEFORE the introduction, while the next release version-3.53.0 (2026-04-09) already contains the fix. Introduced and fixed between releases.",default,"SELECT format('%!.0e',-1e100);",test/printf.test printf-17.12,"Two-byte heap overflow write past the StrAccum buffer while formatting the float. In a stock build the buffer is a 128-byte lookaside slot for this 9-byte request, so the extra bytes stay inside the slot and nothing is observable; correct output is -1.0e+100. An ASAN heap-buffer-overflow write appears only when lookaside is disabled (SQLITE_OMIT_LOOKASIDE or -lookaside 0 0), or if the output exceeds 1200 bytes and falls through to sqlite3Malloc."
fossil:6918ada008507b45,2025,core (INTERSECT empty-table optimization),uninitialized-read,multiSelect (TK_INTERSECT branch),plain-SQL,,33c2e37f981af6766a6309f24a54b91fa3fa9080,3.51.0,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/33c2e37f981af6766a6309f24a54b91fa3fa9080,"OP_IfEmpty jumped over computeLimitRegisters, so the LIMIT/OFFSET counter registers were used without ever being written; the register is a Mem in p->aMem, carved from the tail of the opcode array (sqlite3DbRealloc, src/vdbeaux.c:192, first allocation 1024 B -> a 1200-byte lookaside slot) or from p->pFree = sqlite3DbMallocRawNN(db,x.nNeeded) at src/vdbeaux.c:2718 - connection allocator, lookaside up to 1200 B and system heap above; initMemArray (src/vdbeaux.c:2155) leaves Mem.u uninitialised, so u.i is recycled slab content (lookaside slots are not scrubbed on free outside SQLITE_DEBUG, src/malloc.c:461); the read is IN BOUNDS of the Mem so no bounds check fires either way",216676664d6ac56d83adc0f8214d032f6d6da1bf,no,"Intro 216676664d6a 2025-07-02, which added the INTERSECT empty-table optimization (blame of 'emptyBypass = sqlite3VdbeAddOp1(v, OP_IfEmpty, tab1)' at 33c2e37f981a^ names it). Fix 33c2e37f981a 2025-07-09, one week later. Zero tagged releases contain the intro but not the fix. Confirmed against release sources: 'OP_IfEmpty, tab1' is absent from src/select.c in version-3.50.2 (2025-06-28), 3.50.3 (2025-07-17) and 3.50.4 (2025-07-30) -- the 3.50 branch never carried the optimization -- and first appears in version-3.51.0 (2025-11-04), which already contains the fix.",default,,,"An INTERSECT with LIMIT/OFFSET whose left-hand side is empty: OP_IfEmpty jumps over computeLimitRegisters, so the LIMIT/OFFSET counter registers are read having never been written. Expect a wrong row count (LIMIT honoured against recycled register content) rather than a crash -- the Mem lies inside the allocation, so no bounds check fires and release builds do not scrub freed slots. Not established here: the fix added no test and no public PoC was found, so no trigger is recorded."
sqlite-7516e513b465,2025,expr,integer-overflow,analyzeAggregate,plain-SQL,,7516e513b4650809d1c12f7e9311daaa144f401f,3.39.5,lookaside,blind,read-the-source,https://github.com/sqlite/sqlite/commit/7516e513b4650809d1c12f7e9311daaa144f401f,"pExpr->iAgg is i16; with more than 32767 aggregate columns the cast truncated and the resulting index was later used against AggInfo.aCol / aFunc. Both AggInfo (64 B) and its column array are allocated through the connection allocator (sqlite3DbMallocZero / sqlite3DbRealloc) on a SELECT parse, so with a modest column count they sit in lookaside slots and a truncated index lands on a neighbouring slot rather than outside the slab.",b7916a78ff7708161b6e2de54af5aea85a07c543,yes,intro b7916a78ff77 (2009-05-27) narrowed Expr.iAgg from int to i16 in src/sqliteInt.h (git log -L over the field declaration); first released in version-3.6.15. This fix 7516e513b465 (2025-08-01) is on the untagged 3.39 maintenance branch - it bumps VERSION from 3.39.5 to 3.39.6 - and is contained in ZERO version tags; trunk received the identical one-line change as 24664c3785bc72cc50f843b3f9337707fa7bef5b the same day. 194 release tags from version-3.6.15 to version-3.53.4 contain the introducing commit without either fix.,default,,,"with more than 32767 aggregate column references in one query the (i16)k cast truncates to a negative value and pExpr->iAgg then indexes AggInfo.aCol[]/aFunc[] out of range. Neither the 3.39-branch fix nor the trunk one added a test and no public PoC exists, so not established."
