cve,year,component,bug_class,affected_site,alloc_arena,cheri_expectation,rationale,verification,fixed_in
CVE-2019-5018,2019,window functions,use-after-free,sqlite3WindowRewrite: Window/Expr freed during SELECT rewrite,lookaside-CANDIDATE,BLINDSPOT-candidate,parse-tree objects come from sqlite3DbMallocRaw; small allocs are lookaside slots recycled on a connection-local freelist that never calls free(),unverified,
CVE-2020-13871,2020,core (parse tree),use-after-free (read),parse-tree object freed too early,lookaside-CANDIDATE,BLINDSPOT-candidate,same arena argument as CVE-2019-5018,unverified,3.32.3
CVE-2021-20227,2021,core,read-after-free,site not yet pinned down,UNKNOWN,UNKNOWN,sqlite.org: undetectable without memory sanitizer; arena decides the verdict,unverified,
CVE-2024-0232,2024,JSON parser,use-after-free,jsonParseAddNodeArray: stale aNode after realloc growth,direct-malloc/realloc,TEMPORAL-WINDOW,stale pointer after realloc move; caught only once revocation quarantines the old region; a read inside the window passes,unverified,
CVE-2020-13630,2020,FTS3 snippet(),use-after-free (read),Fts3Phrase / cursor object,direct-malloc-CANDIDATE,CAUGHT-temporal-candidate,FTS3 runtime objects go through sqlite3_malloc; a real free() makes the region visible to revocation,unverified,
CVE-2020-11656,2020,core (ALTER TABLE+window),use-after-free,debug builds only (-DSQLITE_DEBUG),n/a,LOW-PRIORITY,not reachable in release builds,sqlite.org-assessed,
CVE-2020-15358,2020,core (query flattener),heap OOB read,read past end of a heap buffer,ARENA-DECIDES,OPEN,if the buffer is a lookaside slot the capability spans the whole pool (blind); if its own malloc the bounds trap it,unverified,3.32.3
CVE-2018-20346,2018,FTS3 (Magellan),int overflow -> heap overflow,FTS3 query after crafted shadow-table changes,direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,FTS3 segment/node buffers are individually malloc'd; overflow crosses the allocation boundary,unverified,3.25.3
CVE-2018-20505,2018,FTS3 (Magellan),int overflow -> heap overflow,FTS3 merge operation,direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,same as CVE-2018-20346,unverified,3.25.3
CVE-2018-20506,2018,FTS3 (Magellan),int overflow -> heap overflow,FTS3 merge operation (distinct from 20505),direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,same as CVE-2018-20346,unverified,3.25.3
CVE-2019-13734,2019,FTS3 (Magellan 2.0),memory corruption,Chrome-reported cluster 13734/13750/13751/13752/13753,UNKNOWN,UNKNOWN,cluster not yet broken out per-bug,unverified,
CVE-2019-8457,2019,rtree,heap OOB read,rtreenode() on invalid rtree tables,direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,rtree node blob is its own allocation,unverified,
CVE-2025-3277,2025,concat_ws(),int overflow -> heap overflow,StrAccum write past malloc'd buffer with >2MB separator,db-heap (exceeds lookaside threshold),CAUGHT-spatial-likely,a >2MB StrAccum growth is always a real malloc; bounds end at the buffer,unverified,
CVE-2025-29087,2025,concat_ws(),duplicate of CVE-2025-3277,-,db-heap,CAUGHT-spatial-likely,duplicate,sqlite.org-assessed,
CVE-2022-35737,2022,printf %Q path,array-bounds overflow,>2GB string inputs to C API,db-heap,CAUGHT-spatial-likely,same StrAccum argument,unverified,
CVE-2020-13434,2020,printf(),int overflow -> stack overwrite,sqlite3_str / StrAccum on stack,stack,CAUGHT-spatial-candidate,purecap stack allocations carry their own bounds,unverified,
CVE-2025-6965,2025,core,int overflow -> OOB read,aggregate/sql path (needs SQL injection),UNKNOWN,UNKNOWN,,unverified,
CVE-2025-7458,2025,core,int overflow -> OOB read,,UNKNOWN,UNKNOWN,,unverified,
CVE-2025-7709,2025,FTS5,int overflow -> OOB (corrupt index),requires attacker-controlled db file,direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,fts5 leaf page blob is its own allocation,unverified,
CVE-2026-11822,2026,FTS5,heap OOB read,fts5LeafSeek(),direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,leaf buffer is its own allocation,unverified,3.53.2
CVE-2026-11824,2026,FTS5,heap overflow write,fts5ChunkIterate() (duplicate cluster of 11822),direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,same,unverified,3.53.2
CVE-2023-7104,2023,session extension,heap overflow,sessionReadRecord on corrupted changeset,direct-malloc-CANDIDATE,CAUGHT-spatial-candidate,optional extension (-DSQLITE_ENABLE_SESSION),unverified,3.43.1
CVE-2019-19924,2019,core,uninitialized pointer use,,any,CAUGHT-tag-candidate,junk without a valid tag traps on dereference,unverified,
CVE-2019-19926,2019,core,uninitialized pointer use,,any,CAUGHT-tag-candidate,same,unverified,
CVE-2019-20218,2019,core,uninitialized pointer use,,any,CAUGHT-tag-candidate,same,unverified,
CVE-2020-9327,2020,core,uninitialized pointer use,,any,CAUGHT-tag-candidate,same,unverified,
CVE-2020-11655,2020,core,uninitialized pointer use,,any,CAUGHT-tag-candidate,same,unverified,
CVE-2020-6405,2020,core,NULL dereference,,n/a,N/A-both-trap,NULL traps with and without CHERI; no differential,sqlite.org-assessed,
CVE-2020-13435,2020,core,NULL dereference,,n/a,N/A-both-trap,same (dup: CVE-2021-0646),sqlite.org-assessed,
CVE-2020-13632,2020,FTS3 matchinfo(),NULL dereference,,n/a,N/A-both-trap,same,sqlite.org-assessed,
CVE-2020-13631,2020,virtual tables,infinite loop / DoS,,n/a,N/A-logic,no memory-safety component,sqlite.org-assessed,
CVE-2019-16168,2019,query planner,division by zero / DoS,whereLoopAddBtreeIndex,n/a,N/A-logic,no memory-safety component,unverified,
