id,year,component,bug_class,affected_function,trigger,poc,fix_commit,fixed_in,alloc_arena,verdict,evidence,source,notes
CVE-2011-0014,2011,TLS OCSP status_request extension parsing (ssl/t1_lib.c),buffer-overread,ssl_parse_clienthello_tlsext,"ClientHello carrying a status_request extension whose responder_id_list entries consume bytes that the running 'size' counter is never charged for, so the later 'dsize > size' check passes for a request_extensions length that runs past the end of the message.",,6545372c249d287687bbb8dec80ee76b0e7cac43,1.0.0d,ssl-init-buf,blind,read-the-source,https://www.openssl.org/news/secadv/20110208.txt,"ssl/t1_lib.c:918-919 (tag OpenSSL_1_0_0c): 'n2s(data, idsize); dsize -= 2 + idsize;' -- dsize is decremented but 'size' is not (the fix adds 'size -= 2 + idsize;'). The over-read then happens at ssl/t1_lib.c:927 d2i_OCSP_RESPID(NULL,&sdata,idsize) and :968-970 d2i_X509_EXTENSIONS(NULL,&sdata,dsize). The parsed pointer is the handshake arena: ssl/s3_srvr.c:819 'd=p=(unsigned char *)s->init_msg;' with s->init_msg = s->init_buf->data + 4, and ssl3_accept pre-grows init_buf with 'BUF_MEM_grow(buf,SSL3_RT_MAX_PLAIN_LENGTH)' at ssl/s3_srvr.c:246 before the ClientHello is read. For a normal-sized ClientHello the over-read stays entirely inside that live 16384-byte block, so a bounds checker sees a valid in-bounds access -- which is exactly the advisory's 'read the contents of memory following the ClientHello'. Only a ClientHello large enough that the over-read passes offset 16384 escapes the block."
CVE-2010-5298,2014,ssl/record layer,use-after-free,ssl3_read_bytes / ssl3_release_read_buffer,Multi-threaded application with SSL_MODE_RELEASE_BUFFERS: a read buffer still holding unprocessed data (rbuf.left != 0) is released; another connection on the same SSL_CTX then obtains the very same buffer and the two sessions' data are mixed,,725c5f1ad393a7bc344348d0ec7c268aaf2700a7,"1.0.1h, 1.0.0m",ssl-buf-freelist,blind,read-the-source,https://www.openssl.org/news/secadv/20140605.txt,"THE defining case. Vulnerable line ssl/s3_pkt.c:1057 (1.0.1g) `if (s->mode & SSL_MODE_RELEASE_BUFFERS)` -> fix adds `&& s->s3->rbuf.left == 0`. ssl3_release_read_buffer calls ssl/s3_both.c:848 `freelist_insert(s->ctx, 1, s->s3->rbuf.len, s->s3->rbuf.buf)`, which puts the buffer on the SSL_CTX-wide cache (up to SSL_MAX_BUF_FREELIST_LEN_DEFAULT=32, ssl/ssl.h:958) instead of calling free(); ssl3_setup_read_buffer then hands it straight to another SSL via freelist_extract (ssl/s3_both.c:770). The upstream commit subject is literally 'Fix use after free.' yet free() is never called, so a malloc/free-granularity UAF detector observes nothing at all. Per-branch fixes: 1.0.0 e4e1b8f23039e9fccf5f69f18d1eb698a0474113, 1.0.2 a0fe2e72c48166c9c4bb423397723de1fb6227b0, master 94d1f4b0f3d262edf1cf7023a01d5404945035d5."
CVE-2014-0160,2014,ssl/TLS heartbeat,buffer-overread,tls1_process_heartbeat / dtls1_process_heartbeat,TLS1_HB_REQUEST record whose declared payload length exceeds the actual record length; the response copies `payload` bytes starting 3 bytes into the record,"widely published; e.g. Metasploit auxiliary/scanner/ssl/openssl_heartbleed, and the OpenSSL fix commit 96db902 adds the length check",96db9023b881d7cd9f379b0c154650d6c108e9a3,1.0.1g,ssl-record-buffer,blind,read-the-source,https://www.openssl.org/news/secadv/20140407.txt,"Source pointer is arena memory: ssl/t1_lib.c tls1_process_heartbeat `unsigned char *p = &s->s3->rrec.data[0]` then `pl = p` and `memcpy(bp, pl, payload)`. rrec.data points INSIDE rbuf: ssl/s3_pkt.c:175 `s->packet = rb->buf + rb->offset;` :379 `rr->input= &(s->packet[SSL3_RT_HEADER_LENGTH]);` :400 `rr->data=rr->input;`. rbuf is one block of >=16KB+overhead from ssl/s3_both.c:770 `freelist_extract(s->ctx, 1, len)`, so the first ~16KB of the 64KB over-read is IN BOUNDS of its own allocation. Destination `buffer = OPENSSL_malloc(1+2+payload+padding)` is correctly sized - the write is fine, only the read is out of bounds of the RECORD but inside the BUFFER."
OSSL-1ecfb673,2014,ssl/handshake (server),buffer-overflow,ssl3_get_client_key_exchange (RSA premaster path),"ClientKeyExchange carrying an RSA ciphertext shorter than SSL_MAX_MASTER_KEY_LENGTH (48); the constant-time premaster selection then iterates 48 bytes over the message buffer, reading and writing back past the end of the message",,1ecfb673358ccc1129899e5854e6275520b2be65,"1.0.1k, 1.0.2 (hardening; no CVE assigned)",ssl-init-buf,blind,read-the-source,https://github.com/openssl/openssl/commit/1ecfb673358ccc1129899e5854e6275520b2be65,"Both a read AND a write past the handshake message, both inside the arena. ssl/s3_srvr.c:2131 `int ssl3_get_client_key_exchange(SSL *s)` and :2164 `p=(unsigned char *)s->init_msg;` - p is inside s->init_buf->data (pre-grown to SSL3_RT_MAX_PLAIN_LENGTH). Fix adds `if (n < SSL_MAX_MASTER_KEY_LENGTH) { al = SSL_AD_DECRYPT_ERROR; ... goto f_err; }` with the comment 'we want to be sure that the buffer size makes it safe to iterate over the entire size of a premaster secret'."
OSSL-43312c62,2014,ssl/handshake (client),buffer-overread,ssl3_get_key_exchange,Malicious server sends a truncated ServerKeyExchange; the PSK/DH/ECDH/SRP parameter parsers read length prefixes and parameter bodies without ever checking the remaining message length n,,43312c624dfcdfcbac236a8f9f61cd52c3840f32,"1.0.1i, 1.0.2 (hardening; no CVE assigned)",ssl-init-buf,blind,read-the-source,https://github.com/openssl/openssl/commit/43312c624dfcdfcbac236a8f9f61cd52c3840f32,"Non-CVE hardening fix, and a clean arena case. ssl/s3_clnt.c:1316 `param=p=(unsigned char *)s->init_msg;` - init_msg points into s->init_buf->data, a BUF_MEM pre-grown to SSL3_RT_MAX_PLAIN_LENGTH (ssl/s3_srvr.c:284 `BUF_MEM_grow(buf,SSL3_RT_MAX_PLAIN_LENGTH)`). The fix adds `param_len = 2; if (param_len > n) goto f_err;` style checks before each n2s. Every over-read stays inside the 16KB handshake block, so it is in bounds of its own allocation."
OSSL-70c739b8,2014,ssl/TLS extensions (client),buffer-overflow,ssl_add_clienthello_tlsext / ssl_add_serverhello_tlsext,Constructing an outgoing ClientHello whose extensions do not fit; individual extension writers advanced the write pointer without consistently re-checking it against limit,,70c739b8db87a66356bac69955ca6c8d6a9f3aa3,1.0.1h (hardening; no CVE assigned),ssl-init-buf,blind,read-the-source,https://github.com/openssl/openssl/commit/70c739b8db87a66356bac69955ca6c8d6a9f3aa3,"A WRITE-side arena overflow, complementing the read-side cases. The ClientHello is composed directly inside the handshake arena: ssl/s3_clnt.c:664 `buf=(unsigned char *)s->init_buf->data;`, :688 `d=p= &(buf[4]);`, :794 `ssl_add_clienthello_tlsext(s, p, buf+SSL3_RT_MAX_PLAIN_LENGTH)`. The `limit` argument IS the end of the arena block, so any overrun short of that limit is invisible, and the fix reworks the function to track `orig`/`buf` and re-check the limit. Note this is an outgoing-message bug, so it is only reachable with hostile local configuration rather than by a remote peer."
OSSL-35bac916,2015,ssl/handshake (server),buffer-overread,ssl3_get_client_hello,"Truncated ClientHello: client version, the 32-byte random, the session-id length, the DTLS cookie length and the session id itself were all read without checking the declared message length n",,35bac9167644d167aee57c26df206ed5f2b2a877,1.0.2b (hardening; no CVE assigned),ssl-init-buf,blind,read-the-source,https://github.com/openssl/openssl/commit/35bac9167644d167aee57c26df206ed5f2b2a877,"Reads IN PLACE from the handshake arena: ssl/s3_srvr.c:930 `d = p = (unsigned char *)s->init_msg;`, and the fix adds three separate bounds tests against `n` / `d + n` (`if (n < 2 + SSL3_RANDOM_SIZE + 1)`, `if (p + SSL3_RANDOM_SIZE + session_length + 1 >= d + n)`, `if (p + j > d + n)`). init_msg lies inside s->init_buf->data, pre-grown to SSL3_RT_MAX_PLAIN_LENGTH, so every one of these over-reads is in bounds of its own allocation."
OSSL-5101c35c,2015,ssl/session,buffer-overread,ssl_get_prev_session,ClientHello declaring a session_id length that runs past the end of the handshake message; the session id was copied and cache-looked-up without checking it against the message end,,5101c35c9173e40051acb23e45aae128fb84806e,1.0.2b (hardening; no CVE assigned),ssl-init-buf,blind,read-the-source,https://github.com/openssl/openssl/commit/5101c35c9173e40051acb23e45aae128fb84806e,"Fix adds `if (session_id + len > limit) { fatal = 1; goto err; }` at ssl/ssl_sess.c:451. Both pointer and limit are inside the handshake arena: ssl/s3_srvr.c:931 `d = p = (unsigned char *)s->init_msg;` and :996 `i = ssl_get_prev_session(s, p, j, d + n);`. The over-read stays inside s->init_buf."
CVE-2016-2177,2016,"ssl (handshake parsing: ssl3_get_client_hello, session/ticket lookup, TLS extension scanners)",buffer-overread,"ssl3_get_client_hello (ssl/s3_srvr.c), ssl_get_prev_session (ssl/ssl_sess.c), ssl_scan_clienthello_tlsext / ssl_check_for_safari / ssl_scan_serverhello_tlsext / tls1_process_ticket (ssl/t1_lib.c)","A peer-supplied TLS handshake message whose embedded length field is large enough that the idiom 'p + len > limit' is undefined pointer arithmetic and can wrap, so an over-long session-id / cookie / cipher-list / compression / extension field passes the bounds check and the parser reads past the end of the message body inside s->init_buf.",,a004e72b95835136d3f1ea90517f706c24c03da7,"1.0.2i, 1.0.1u",ssl-init-buf,blind,read-the-source,https://www.openssl.org/news/secadv/20160922.txt,"Every rewritten comparison guards a pointer that lives inside the handshake-message arena, not a malloc block of its own. ssl/s3_srvr.c:938 (OpenSSL_1_0_2h) 'd = p = (unsigned char *)s->init_msg;' and ssl/s3_both.c:430 's->init_msg = s->init_buf->data + 4;'. init_buf is a single BUF_MEM created and grown to the full record size up front at ssl/s3_srvr.c:280 'if (!BUF_MEM_grow(buf, SSL3_RT_MAX_PLAIN_LENGTH))' (16384 bytes), and ssl/s3_both.c:423 only ever grows it ('BUF_MEM_grow_clean(s->init_buf, (int)l + 4)'), never shrinks it. So the vulnerable check at ssl/s3_srvr.c:1001 'if (p + j > d + n)' bounds the MESSAGE, whose end (d+n) sits far inside a 16 KB allocation; a read past d+n stays inside the same OPENSSL_malloc'd BUF_MEM and is invisible to a malloc/free-granularity checker. tls1_process_ticket and ssl_get_prev_session receive 'limit' derived from the same d+n, so they are the same arena."
OSSL-f26015db,2017,ssl/session,uninitialised-read,ssl_session_hash,Session with a session_id shorter than 4 bytes; the hash unconditionally reads session_id[0..3],,f26015db3337470cc8396b9283194df96aff7d1b,1.0.2l (hardening; no CVE assigned),system-malloc,blind,read-the-source,https://github.com/openssl/openssl/commit/f26015db3337470cc8396b9283194df96aff7d1b,"CAVEATED ROW - blindness here is SUB-OBJECT, not arena. session_id is a fixed array member inside SSL_SESSION, so the read past session_id_length stays inside the struct's own allocation and no bounds checker fires; only an uninitialised-memory tracker would. Note also that ssl/ssl_sess.c SSL_SESSION_new does `memset(ss, 0, sizeof(SSL_SESSION));`, so on a freshly allocated session the bytes read are zero rather than stale - this is a determinism defect more than an information leak, and it is recorded with that limitation stated rather than counted as an arena disclosure."
